Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
1970-71,36.0,LAL,NBA,SF,2,,28.5,4.0,9.5,0.421,,,,,,,,2.0,3.0,0.667,,,5.5,1.0,,,,3.0,10.0,Elgin Baylor
1971-72,37.0,LAL,NBA,SF,9,,26.6,4.7,10.8,0.433,,,,,,,,2.4,3.0,0.815,,,6.3,2.0,,,,2.2,11.8,Elgin Baylor
1983-84,21.0,POR,NBA,SG,82.0,3.0,17.2,3.1,6.8,0.451,0.0,0.0,0.25,3.1,6.8,0.452,0.452,1.5,2.1,0.728,1.4,1.5,2.9,1.9,1.3,0.4,1.5,2.5,7.7,Clyde Drexler
1984-85,22.0,POR,NBA,SG,80.0,43.0,31.9,7.2,14.5,0.494,0.1,0.5,0.216,7.1,14.1,0.503,0.497,2.8,3.7,0.759,2.7,3.2,6.0,5.5,2.2,0.9,2.8,3.3,17.2,Clyde Drexler
1985-86,23.0,POR,NBA,SG,75.0,58.0,34.3,7.2,15.2,0.475,0.2,0.8,0.2,7.1,14.4,0.49,0.48,3.9,5.1,0.769,2.3,3.3,5.6,8.0,2.6,0.6,3.8,3.6,18.5,Clyde Drexler
1986-87,24.0,POR,NBA,SG,82.0,82.0,38.0,8.6,17.2,0.502,0.1,0.6,0.234,8.5,16.6,0.511,0.506,4.4,5.7,0.76,2.8,3.5,6.3,6.9,2.5,0.9,3.1,3.4,21.7,Clyde Drexler
1987-88,25.0,POR,NBA,SG,81.0,80.0,37.8,10.5,20.7,0.506,0.1,0.6,0.212,10.3,20.1,0.515,0.509,5.9,7.2,0.811,3.2,3.4,6.6,5.8,2.5,0.6,2.9,3.1,27.0,Clyde Drexler
1988-89,26.0,POR,NBA,SG,78.0,78.0,39.3,10.6,21.4,0.496,0.3,1.3,0.26,10.3,20.1,0.511,0.504,5.6,7.0,0.799,3.7,4.2,7.9,5.8,2.7,0.7,3.2,3.4,27.2,Clyde Drexler
1989-90,27.0,POR,NBA,SG,73.0,73.0,36.8,9.2,18.6,0.494,0.4,1.5,0.283,8.8,17.1,0.512,0.505,4.6,5.9,0.774,2.8,4.1,6.9,5.9,2.0,0.7,2.6,3.0,23.3,Clyde Drexler
1990-91,28.0,POR,NBA,SG,82.0,82.0,34.8,7.9,16.3,0.482,0.7,2.3,0.319,7.1,14.0,0.509,0.505,5.1,6.4,0.794,2.6,4.1,6.7,6.0,1.8,0.7,2.8,2.8,21.5,Clyde Drexler
1991-92,29.0,POR,NBA,SG,76.0,76.0,36.2,9.1,19.4,0.47,1.5,4.4,0.337,7.6,15.0,0.51,0.509,5.3,6.6,0.794,2.2,4.4,6.6,6.7,1.8,0.9,3.2,3.0,25.0,Clyde Drexler
1992-93,30.0,POR,NBA,SG,49.0,49.0,34.1,7.1,16.7,0.429,0.6,2.7,0.233,6.5,13.9,0.467,0.448,5.0,6.0,0.839,2.6,3.7,6.3,5.7,1.9,0.8,2.3,3.2,19.9,Clyde Drexler
1993-94,31.0,POR,NBA,SG,68.0,68.0,34.3,7.0,16.3,0.428,1.0,3.2,0.324,5.9,13.0,0.454,0.46,4.2,5.4,0.777,2.3,4.3,6.5,4.9,1.4,0.5,2.5,3.0,19.2,Clyde Drexler
