"","Player","PTS_G","TRB_G","AST_G","STL_G","BLK_G","X3P_G","PTS_100","TRB_100","AST_100","STL_100","BLK_100","X3P_100"
"317","Malcolm Hill",3.6,1.8,0.4,0.3,0.15,0.65,16.4,8.3,1.95,1.25,0.65,2.95
"318","Malik Beasley",12.1,2.9,1.5,0.5,0.2,3,22.9,5.5,2.8,1,0.3,5.8
"319","Malik Monk",13.8,3.4,2.9,0.8,0.4,2.3,23.5,5.7,4.9,1.4,0.6,3.9
"320","Mamadi Diakite",4.3,4.5,0.2,0.4,0.7,0,14.5,15.3,0.5,1.3,2.3,0
"321","Marcus Garrett",1.1,1.9,0.6,0.4,0.3,0.1,5.1,9,2.7,2,1.2,0.4
"322","Marcus Morris",15.4,4.4,2.1,0.5,0.3,1.9,26,7.5,3.5,0.9,0.6,3.2
"323","Marcus Smart",12.1,3.8,5.9,1.7,0.3,1.7,18.6,5.8,9,2.6,0.4,2.6
"324","Markelle Fultz",10.8,2.7,5.5,1.1,0.3,0.2,26.2,6.6,13.3,2.7,0.7,0.5
"325","Markieff Morris",7.6,2.6,1.4,0.4,0.1,0.8,21.7,7.6,3.9,1,0.2,2.2
"326","Markus Howard",4.1,0.4,0.2,0.3,0,0.9,35.1,3.3,2,2.5,0,7.8
"327","Marquese Chriss",4.5,3,0.5,0.4,0.4,0.2,22.4,15,2.5,1.9,1.7,1.2
"328","Marvin Bagley III",11.7333333333333,7,0.833333333333333,0.5,0.4,0.466666666666667,23.1,14.1,1.53333333333333,0.966666666666667,0.766666666666667,0.966666666666667
"329","Mason Plumlee",6.5,7.7,3.1,0.8,0.7,0,12.8,15.1,6,1.6,1.4,0
"330","Matisse Thybulle",5.7,2.3,1.1,1.7,1.1,0.7,11.2,4.5,2.2,3.4,2.1,1.3
"331","Matt Thomas",4,1.3,0.5,0.2,0.1,0.9,17.1,5.3,2.1,0.9,0.3,3.7
"332","Maurice Harkless",4.6,2.4,0.5,0.6,0.5,0.7,12.1,6.2,1.3,1.6,1.3,1.7
"333","Max Strus",10.6,3,1.4,0.4,0.2,2.7,22.7,6.4,2.9,0.9,0.5,5.7
"334","Maxi Kleber",7,5.9,1.2,0.5,1,1.4,14.3,12.1,2.4,1,2,2.9
"335","Mikal Bridges",14.2,4.2,2.3,1.2,0.4,1.4,19.6,5.9,3.1,1.6,0.6,1.9
"336","Mike Conley",13.7,3,5.3,1.3,0.3,2.3,23.7,5.2,9.2,2.3,0.5,4.1
"337","Mike Muscala",8,3,0.5,0.4,0.6,1.6,28.3,10.6,1.8,1.5,2.1,5.8
"338","Miles Bridges",20.2,7,3.8,0.9,0.8,1.9,27.3,9.5,5.1,1.3,1.1,2.6
"339","Miles McBride",2.2,1.1,1,0.4,0,0.4,12,5.6,5.5,1.9,0.1,2.3
"340","Mitchell Robinson",8.5,8.6,0.5,0.8,1.8,0,16.5,16.7,1,1.6,3.6,0
"341","Mo Bamba",10.6,8.1,1.2,0.5,1.7,1.5,20,15.2,2.3,1,3.1,2.8
"342","Monte Morris",12.6,3,4.4,0.7,0.2,1.7,20.7,5,7.3,1.2,0.3,2.7
"343","Montrezl Harrell",12.8666666666667,5.9,2.03333333333333,0.4,0.6,0.0666666666666667,27.5333333333333,12.6,4.36666666666667,0.9,1.26666666666667,0.1
"344","Moritz Wagner",9,3.7,1.4,0.3,0.2,1,28.4,11.7,4.4,1,0.7,3.3
"345","Moses Brown",4.6,3.66666666666667,0,0.2,0.4,0,24.8,19.6,0.133333333333333,1,2.33333333333333,0
"346","Moses Moody",4.4,1.5,0.4,0.1,0.2,0.8,18.3,6.4,1.8,0.6,0.8,3.2
"347","Mychal Mulder",3.9,1.4,0.25,0.25,0.1,0.95,13.8,5.05,0.85,0.9,0.3,3.35
"348","Myles Turner",12.9,7.1,1,0.7,2.8,1.5,21.4,11.8,1.7,1.1,4.7,2.4
